,name,director_actor,info,rating_score,rating_num,introduce
0,肖申克的救赎,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins...,1994/美国/犯罪剧情,9.7,2100959人评价,希望让人自由。
1,霸王别姬,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung张丰毅FengyiZha...,1993/中国大陆中国香港/剧情爱情同性,9.6,1558227人评价,风华绝代。
2,阿甘正传,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks...,1994/美国/剧情爱情,9.5,1588158人评价,一部美国近现代史。
3,这个杀手不太冷,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno娜塔莉·波特曼...,1994/法国美国/剧情动作犯罪,9.4,1775581人评价,怪蜀黍和小萝莉不得不说的故事。
4,泰坦尼克号,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...,1997/美国/剧情爱情灾难,9.4,1540930人评价,失去的才是永恒的。 
5,美丽人生,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...,1997/意大利/剧情喜剧爱情战争,9.5,991887人评价,最美的谎言。
6,千与千寻,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi入野自由Miy...,2001/日本/剧情动画奇幻,9.4,1651199人评价,最好的宫崎骏，最好的久石让。 
7,辛德勒的名单,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...,1993/美国/剧情历史战争,9.5,807660人评价,拯救一个人，就是拯救整个世界。
8,盗梦空间,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...,2010/美国英国/剧情科幻悬疑冒险,9.3,1513869人评价,诺兰给了我们一场无法盗取的梦。
9,忠犬八公的故事,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...,2009/美国英国/剧情,9.4,1054207人评价,永远都不能忘记你所爱的人。
10,海上钢琴师,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth...,1998/意大利/剧情音乐,9.3,1262747人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
11,楚门的世界,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey劳拉·琳妮Lau...,1998/美国/剧情科幻,9.3,1136889人评价,如果再也不能见到你，祝你早安，午安，晚安。
12,三傻大闹宝莱坞,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan卡...,2009/印度/剧情喜剧爱情歌舞,9.2,1405883人评价,英俊版憨豆，高情商版谢耳朵。
13,机器人总动员,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt艾丽...,2008/美国/科幻动画冒险,9.3,995392人评价,小瓦力，大人生。
14,放牛班的春天,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:热拉尔·朱尼奥Gé...,2004/法国瑞士德国/剧情音乐,9.3,978152人评价,天籁一般的童声，是最接近上帝的存在。 
15,星际穿越,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...,2014/美国英国加拿大冰岛/剧情科幻冒险,9.3,1162015人评价,爱是一种力量，让我们超越时空感知它的存在。
16,大话西游之大圣娶亲,导演:刘镇伟JeffreyLau主演:周星驰StephenChow吴孟达ManTatNg...,1995/中国香港中国大陆/喜剧爱情奇幻古装,9.2,1116766人评价,一生所爱。
17,熔炉,导演:黄东赫Dong-hyukHwang主演:孔侑YooGong郑有美Yu-miJung...,2011/韩国/剧情,9.3,686386人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
18,疯狂动物城,导演:拜伦·霍华德ByronHoward瑞奇·摩尔RichMoore主演:金妮弗·...,2016/美国/喜剧动画冒险,9.2,1339917人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,无间道,导演:刘伟强麦兆辉主演:刘德华梁朝伟黄秋生,2002/中国香港/剧情犯罪悬疑,9.2,908654人评价,香港电影史上永不过时的杰作。
20,龙猫,导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka坂本千夏Ch...,1988/日本/动画奇幻冒险,9.2,939625人评价,人人心中都有个龙猫，童年就永远不会消失。
21,教父,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...,1972/美国/剧情犯罪,9.3,685933人评价,千万不要记恨你的对手，这样会让你失去理智。
22,当幸福来敲门,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...,2006/美国/剧情传记家庭,9.1,1131368人评价,平民励志片。 
23,怦然心动,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll卡...,2010/美国/剧情喜剧爱情,9.1,1312112人评价,真正的幸福是来自内心深处。
24,触不可及,导演:奥利维·那卡什OlivierNakache艾力克·托兰达EricToledano主...,2011/法国/剧情喜剧,9.2,732376人评价,满满温情的高雅喜剧。
25,控方证人,导演:比利·怀尔德BillyWilder主演:泰隆·鲍华TyronePower玛琳·...,1957/美国/剧情犯罪悬疑,9.6,299987人评价,比利·怀德满分作品。
26,蝙蝠侠：黑暗骑士,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,2008/美国英国/剧情动作科幻犯罪惊悚,9.2,757458人评价,无尽的黑暗。
27,活着,导演:张艺谋YimouZhang主演:葛优YouGe巩俐LiGong姜武WuJiang,1994/中国大陆中国香港/剧情历史家庭,9.2,589366人评价,张艺谋最好的电影。
28,寻梦环游记,导演:李·昂克里奇LeeUnkrich阿德里安·莫利纳AdrianMolina主演:...,2017/美国/喜剧动画奇幻音乐,9.1,1126146人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
29,末代皇帝,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone陈...,1987/英国意大利中国大陆法国/剧情传记历史,9.3,541986人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
30,乱世佳人,导演:维克多·弗莱明VictorFleming乔治·库克GeorgeCukor主演:费...,1939/美国/剧情历史爱情战争,9.3,504929人评价,Tomorrow is another day.
31,何以为家,导演:娜丁·拉巴基NadineLabaki主演:扎因·拉费阿Zainal-Rafeea...,2018/黎巴嫩法国美国/剧情,9.1,694901人评价,凝视卑弱生命，用电影改变命运。
32,摔跤吧！爸爸,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan法缇玛...,2016/印度/剧情传记运动家庭,9.0,1154716人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
33,指环王3：王者无敌,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood西恩...,2003/美国新西兰/剧情动作奇幻冒险,9.2,556766人评价,史诗的终章。
34,飞屋环游记,导演:彼特·道格特PeteDocter鲍勃·彼德森BobPeterson主演:爱德...,2009/美国/剧情喜剧动画冒险,9.0,985215人评价,最后那些最无聊的事情，才是最值得怀念的。 
35,少年派的奇幻漂流,导演:李安AngLee主演:苏拉·沙玛SurajSharma伊尔凡·可汗Irrfan...,2012/美国中国台湾英国加拿大/剧情奇幻冒险,9.1,1050719人评价,瑰丽壮观、无人能及的冒险之旅。
36,十二怒汉,导演:SidneyLumet主演:亨利·方达HenryFonda马丁·鲍尔萨姆Marti...,1957/美国/剧情,9.4,336644人评价,1957年的理想主义。 
37,鬼子来了,导演:姜文WenJiang主演:姜文WenJiang香川照之TeruyukiKagawa...,2000/中国大陆/剧情喜剧,9.2,453188人评价,对敌人的仁慈，就是对自己残忍。
38,素媛,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol严志媛Ji-wonUhm...,2013/韩国/剧情,9.2,461599人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
39,哈尔的移动城堡,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô木村拓...,2004/日本/动画奇幻冒险,9.1,721206人评价,带着心爱的人在天空飞翔。
40,天空之城,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka横泽启子Ke...,1986/日本/动画奇幻冒险,9.1,624300人评价,对天空的追逐，永不停止。 
41,大话西游之月光宝盒,导演:刘镇伟JeffreyLau主演:周星驰StephenChow吴孟达ManTatNg...,1995/中国香港中国大陆/喜剧爱情奇幻古装,9.0,891978人评价,旷古烁今。
42,哈利·波特与魔法石,导演:ChrisColumbus主演:DanielRadcliffeEmmaWatsonRupertGrint,2001/美国英国/奇幻冒险,9.0,697152人评价,童话世界的开端。
43,天堂电影院,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东内拉·阿蒂利Anton...,1988/意大利法国/剧情爱情,9.2,484609人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
44,罗马假日,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn格...,1953/美国/喜剧剧情爱情,9.0,720333人评价,爱情哪怕只有一天。
45,闻香识女人,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino克里斯...,1992/美国/剧情,9.1,627740人评价,史上最美的探戈。
46,辩护人,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong金英爱Yeong-ae...,2013/韩国/剧情,9.2,450837人评价,电影的现实意义大过电影本身。
47,我不是药神,导演:文牧野MuyeWen主演:徐峥ZhengXu王传君ChuanjunWang周...,2018/中国大陆/剧情喜剧,9.0,1541439人评价,对我们国家而言，这样的电影多一部是一部。
48,搏击俱乐部,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton布拉...,1999/美国德国/剧情动作悬疑惊悚,9.0,644511人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
49,教父2,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,1974/美国/剧情犯罪,9.2,380400人评价,优雅的孤独。
50,死亡诗社,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams罗伯...,1989/美国/剧情,9.1,511647人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
51,狮子王,导演:RogerAllers罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...,1994/美国/动画冒险歌舞,9.0,593961人评价,动物版《哈姆雷特》。
52,指环王2：双塔奇兵,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood西恩...,2002/美国新西兰/剧情动作奇幻冒险,9.1,507483人评价,承前启后的史诗篇章。
53,大闹天宫,导演:万籁鸣LaimingWan唐澄ChengTang主演:邱岳峰YuefengQiu...,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,9.3,286457人评价,经典之作，历久弥新。
54,猫鼠游戏,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...,2002/美国加拿大/传记犯罪剧情,9.0,598927人评价,骗子大师和执著警探的你追我跑故事。 
55,窃听风暴,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...,2006/德国/剧情悬疑,9.1,420240人评价,别样人生。
56,指环王1：魔戒再现,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood西恩...,2001/新西兰美国/剧情动作奇幻冒险,9.0,570976人评价,传说的开始。
57,钢琴家,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...,2002/法国德国英国波兰/剧情传记历史战争音乐,9.2,383724人评价,音乐能化解仇恨。
58,黑客帝国,导演:安迪·沃卓斯基AndyWachowski拉娜·沃卓斯基LanaWachowski主...,1999/美国澳大利亚/动作科幻,9.0,574618人评价,视觉革命。
59,美丽心灵,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe艾德·哈...,2001/美国/传记剧情,9.0,555721人评价,爱是一切逻辑和原由。
60,两杆大烟枪,导演:GuyRitchie主演:JasonFlemyngDexterFletcherNickMoran,1998/英国/剧情喜剧犯罪,9.1,449431人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
61,饮食男女,导演:李安AngLee主演:郎雄SihungLung杨贵媚Kuei-MeiYang吴...,1994/中国台湾美国/剧情家庭,9.1,417907人评价,人生不能像做菜，把所有的料都准备好了才下锅。
62,飞越疯人院,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...,1975/美国/剧情,9.1,439071人评价,自由万岁。
63,本杰明·巴顿奇事,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett...,2008/美国/剧情爱情奇幻,8.9,724563人评价,在时间之河里感受溺水之苦。
64,让子弹飞,导演:姜文WenJiang主演:姜文WenJiang葛优YouGe周润发Yun-F...,2010/中国大陆中国香港/剧情喜剧动作西部,8.8,1183452人评价,你给我翻译翻译，神马叫做TMD的惊喜。
65,V字仇杀队,导演:詹姆斯·麦克特格JamesMcTeigue主演:娜塔莉·波特曼NataliePor...,2005/美国英国德国/剧情动作科幻惊悚,8.9,774234人评价,一张面具背后的理想与革命。
66,看不见的客人,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas阿...,2016/西班牙/剧情犯罪悬疑惊悚,8.8,860957人评价,你以为你以为的就是你以为的。
67,绿皮书,导演:彼得·法雷里PeterFarrelly主演:维果·莫腾森ViggoMortensen...,2018/美国/剧情喜剧传记,8.9,1120119人评价,去除成见，需要勇气。
68,西西里的美丽传说,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...,2000/意大利美国/剧情战争情色,8.9,715698人评价,美丽无罪。
69,小鞋子,导演:马基德·马基迪MajidMajidi主演:法拉赫阿米尔·哈什米安AmirFa...,1997/伊朗/剧情儿童家庭,9.2,294246人评价,奔跑的孩子是天使。
70,拯救大兵瑞恩,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,1998/美国/剧情历史战争,9.0,470584人评价,美利坚精神输出大片No1.
71,海蒂和爷爷,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen...,2015/德国瑞士南非/剧情冒险家庭,9.2,293595人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
72,海豚湾,导演:路易·西霍尤斯LouiePsihoyos主演:RichardO'Barry路易·西霍...,2009/美国/纪录片,9.3,290085人评价,海豚的微笑，是世界上最高明的伪装。
73,穿条纹睡衣的男孩,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...,2008/英国美国/剧情战争,9.1,364985人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
74,情书,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama丰川悦司Ets...,1995/日本/剧情爱情,8.9,664809人评价,暗恋的极致。
75,音乐之声,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews克...,1965/美国/剧情传记爱情歌舞,9.0,438476人评价,用音乐化解仇恨，让歌声串起美好。
76,美国往事,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...,1984/美国意大利/犯罪剧情,9.2,307534人评价,往事如烟，无处祭奠。
77,致命魔术,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...,2006/英国美国/剧情悬疑惊悚,8.9,622929人评价,孪生蝙蝠侠大战克隆金刚狼。
78,低俗小说,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...,1994/美国/剧情喜剧犯罪,8.8,612064人评价,故事的高级讲法。
79,七宗罪,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman布...,1995/美国/剧情犯罪悬疑惊悚,8.8,717682人评价,警察抓小偷，老鼠玩死猫。
80,沉默的羔羊,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster安...,1991/美国/剧情犯罪惊悚,8.8,619263人评价,安东尼·霍普金斯的顶级表演。
81,蝴蝶效应,导演:埃里克·布雷斯EricBressJ·麦基·格鲁伯J.MackyeGruber主...,2004/美国加拿大/剧情悬疑科幻惊悚,8.8,683360人评价,人的命运被自己瞬间的抉择改变。
82,禁闭岛,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio...,2010/美国/剧情悬疑惊悚,8.8,687903人评价,昔日翩翩少年，今日大腹便便。
83,心灵捕手,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon罗宾·...,1997/美国/剧情,8.9,514444人评价,人生中应该拥有这样的一段豁然开朗。
84,春光乍泄,导演:王家卫KarWaiWong主演:张国荣LeslieCheung梁朝伟TonyLeu...,1997/中国香港日本韩国/剧情爱情同性,8.9,461186人评价,爱情纠缠，男女一致。
85,布达佩斯大饭店,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes...,2014/美国德国英国/剧情喜剧冒险,8.8,648517人评价,小清新的故事里注入了大历史的情怀。
86,被嫌弃的松子的一生,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani瑛太E...,2006/日本/剧情歌舞,8.9,549384人评价,以戏谑来戏谑戏谑。
87,阿凡达,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...,2009/美国英国/动作科幻冒险,8.7,974260人评价,绝对意义上的美轮美奂。
88,摩登时代,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...,1936/美国/剧情喜剧爱情,9.3,205128人评价,大时代中的人生，小人物的悲喜。
89,剪刀手爱德华,导演:蒂姆·波顿TimBurton主演:约翰尼·德普JohnnyDepp薇诺娜·...,1990/美国/剧情奇幻爱情,8.7,823003人评价,浪漫忧郁的成人童话。
90,勇敢的心,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson苏菲·玛...,1995/美国/动作传记剧情历史战争,8.9,452255人评价,史诗大片的典范。
91,喜剧之王,导演:周星驰StephenChow李力持Lik-ChiLee主演:周星驰StephenCh...,1999/中国香港/喜剧剧情爱情,8.7,690260人评价,我是一个演员。
92,致命ID,导演:詹姆斯·曼高德JamesMangold主演:约翰·库萨克JohnCusack雷...,2003/美国/剧情悬疑惊悚,8.8,579711人评价,最不可能的那个人永远是最可能的。
93,天使爱美丽,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...,2001/法国德国/喜剧爱情,8.7,784134人评价,法式小清新。 
94,加勒比海盗,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp...,2003/美国/动作冒险奇幻,8.8,648497人评价,约翰尼·德普的独角戏。
95,哈利·波特与死亡圣器(下),导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...,2011/美国英国/奇幻冒险,8.8,551000人评价,10年的完美句点。
96,断背山,导演:李安AngLee主演:希斯·莱杰HeathLedger杰克·吉伦哈尔Jake...,2005/美国加拿大/剧情爱情同性家庭,8.8,546554人评价,每个人心中都有一座断背山。
97,杀人回忆,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong金相庆Sang-kyun...,2003/韩国/剧情动作犯罪悬疑惊悚,8.8,482237人评价,关于连环杀人悬案的集体回忆。
98,狩猎,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...,2012/丹麦瑞典/剧情,9.1,262104人评价,人言可畏。
99,请以你的名字呼唤我,导演:卢卡·瓜达尼诺LucaGuadagnino主演:艾米·汉莫ArmieHammer...,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,8.9,469868人评价,沉醉在电影的情感和视听氛围中无法自拔。
100,幽灵公主,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda石田百合...,1997/日本/动画奇幻冒险,8.9,402072人评价,人与自然的战争史诗。
101,阳光灿烂的日子,导演:姜文WenJiang主演:夏雨YuXia宁静JingNing陶虹HongTao,1994/中国大陆中国香港/剧情爱情,8.8,463480人评价,一场华丽的意淫。
102,小森林 夏秋篇,导演:森淳一JunichiMori主演:桥本爱AiHashimoto三浦贵大Takahir...,2014/日本/剧情,9.0,308447人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
103,7号房的礼物,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo朴信惠Shi...,2013/韩国/剧情喜剧家庭,8.9,381941人评价,《我是山姆》的《美丽人生》。
104,重庆森林,导演:王家卫KarWaiWong主演:林青霞BrigitteLin金城武TakeshiK...,1994/中国香港/剧情爱情,8.7,584593人评价,寂寞没有期限。
105,第六感,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...,1999/美国/剧情悬疑惊悚,8.9,399618人评价,深入内心的恐怖，出人意料的结局。
106,入殓师,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki...,2008/日本/剧情,8.8,455023人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
107,红辣椒,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara江守彻Toru...,2006/日本/动画悬疑科幻惊悚,9.0,287577人评价,梦的勾结。
108,小森林 冬春篇,导演:森淳一JunichiMori主演:桥本爱AiHashimoto三浦贵大Takahir...,2015/日本/剧情,9.0,272588人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
109,消失的爱人,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck罗莎蒙...,2014/美国/剧情犯罪悬疑惊悚,8.7,657918人评价,年度最佳date movie。
110,爱在黎明破晓前,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,1995/美国奥地利瑞士/剧情爱情,8.8,437768人评价,缘分是个连绵词，最美不过一瞬。
111,一一,导演:杨德昌EdwardYang主演:吴念真李凯莉KellyLee金燕玲Elai...,2000/中国台湾日本/剧情爱情家庭,9.0,259903人评价,我们都曾经是一一。
112,侧耳倾听,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna小林桂树K...,1995/日本/剧情爱情动画,8.9,336804人评价,少女情怀总是诗。
113,唐伯虎点秋香,导演:李力持Lik-ChiLee主演:周星驰StephenChow巩俐LiGong陈...,1993/中国香港/喜剧爱情古装,8.6,750015人评价,华太师是黄霑，吴镇宇四大才子之一。
114,超脱,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody马西...,2011/美国/剧情,8.9,342155人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
115,倩女幽魂,导演:程小东Siu-TungChing主演:张国荣LeslieCheung王祖贤JoeyW...,1987/中国香港/爱情奇幻武侠古装,8.7,530370人评价,两张绝世的脸。 
116,蝙蝠侠：黑暗骑士崛起,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,2012/美国英国/剧情动作科幻犯罪惊悚,8.8,522424人评价,诺兰就是保证。
117,玛丽和马克思,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette菲利...,2009/澳大利亚/剧情喜剧动画,8.9,337945人评价,你是我最好的朋友，你是我唯一的朋友 。
118,告白,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu冈田将生...,2010/日本/剧情惊悚,8.7,545158人评价,没有一人完全善，也没有一人完全恶。
119,无人知晓,导演:是枝裕和HirokazuKoreeda主演:柳乐优弥YûyaYagira北浦爱...,2004/日本/剧情,9.1,202181人评价,我的平常生活就是他人的幸福。
120,甜蜜蜜,导演:陈可辛PeterChan主演:黎明LeonLai张曼玉MaggieCheung...,1996/中国香港/剧情爱情,8.8,382007人评价,相逢只要一瞬间，等待却像是一辈子。
121,萤火之森,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura内山昂辉K...,2011/日本/剧情爱情动画奇幻,8.9,365718人评价,触不到的恋人。
122,大鱼,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor阿...,2003/美国/剧情家庭奇幻冒险,8.8,430386人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
123,阳光姐妹淘,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim闵孝琳Hy...,2011/韩国/剧情喜剧,8.8,465712人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
124,超能陆战队,导演:唐·霍尔DonHall克里斯·威廉姆斯ChrisWilliams主演:斯科特...,2014/美国/喜剧动作科幻动画冒险,8.7,728557人评价,Balalala~~~
